acousticness_very_high|instrumentalness_high|speechiness_low → energy_very_low|loudness_very_low|valence_very_low (supp=0.023, conf=0.65, lift=7.71, lev=0.0199)
acousticness_very_high|instrumentalness_high|mode_1|valence_very_low → danceability_very_low|loudness_very_low (supp=0.023, conf=0.74, lift=7.71, lev=0.0201)
acousticness_very_high|danceability_very_low|energy_very_low|instrumentalness_high → loudness_very_low|valence_very_low (supp=0.034, conf=0.80, lift=7.69, lev=0.0296)
danceability_very_low|energy_very_low|instrumentalness_high → loudness_very_low|valence_very_low (supp=0.040, conf=0.80, lift=7.69, lev=0.0345)
danceability_very_low|energy_very_low|loudness_very_low|speechiness_low → acousticness_very_high|instrumentalness_high (supp=0.024, conf=0.62, lift=7.68, lev=0.0205)
acousticness_very_high|speechiness_low|valence_very_low → energy_very_low|instrumentalness_high|loudness_very_low (supp=0.023, conf=0.63, lift=7.68, lev=0.0199)
energy_very_low|loudness_very_low|speechiness_low|valence_very_low → acousticness_very_high|instrumentalness_high (supp=0.023, conf=0.62, lift=7.67, lev=0.0199)
acousticness_very_high|loudness_very_low|speechiness_low|valence_very_low → energy_very_low|instrumentalness_high (supp=0.023, conf=0.70, lift=7.67, lev=0.0199)
acousticness_very_high|energy_very_low|tempo_very_low|valence_very_low → danceability_very_low|loudness_very_low (supp=0.028, conf=0.73, lift=7.66, lev=0.0242)
energy_very_low|loudness_very_low|speechiness_low|valence_very_low → acousticness_very_high|danceability_very_low (supp=0.027, conf=0.72, lift=7.66, lev=0.0232)
danceability_very_low|loudness_very_low|speechiness_low|valence_very_low → energy_very_low|instrumentalness_high (supp=0.022, conf=0.70, lift=7.65, lev=0.0191)
acousticness_very_high|instrumentalness_high|valence_very_low → danceability_very_low|loudness_very_low (supp=0.036, conf=0.73, lift=7.64, lev=0.0313)
loudness_very_low|tempo_very_low|valence_very_low → acousticness_very_high|danceability_very_low|energy_very_low (supp=0.028, conf=0.62, lift=7.63, lev=0.0242)
acousticness_very_high|energy_very_low|instrumentalness_high|speechiness_low → danceability_very_low|loudness_very_low (supp=0.024, conf=0.73, lift=7.63, lev=0.0205)
acousticness_very_high|danceability_very_low|speechiness_low → energy_very_low|loudness_very_low|valence_very_low (supp=0.027, conf=0.64, lift=7.63, lev=0.0232)
danceability_very_low|energy_very_low|liveness_low|loudness_very_low → acousticness_very_high|valence_very_low (supp=0.022, conf=0.67, lift=7.61, lev=0.0188)
