antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,simple_rule
"frozenset({'mode_1', 'energy_low'})",frozenset({'instrumentalness_low'}),0.1571892332203308,0.5000539057727093,0.0986835012398327,0.6278006401463192,1.2554659265708743,1.0,0.020080411222589,1.3432212629915048,0.2414337487491353,0.1766749592519516,0.2555210168629348,0.4125731832391235,energy_low|mode_1,instrumentalness_low,"energy_low|mode_1  →  instrumentalness_low (conf=0.63, lift=1.26)"
frozenset({'valence_very_high'}),frozenset({'instrumentalness_low'}),0.2498352879167215,0.5000539057727093,0.1565902801902274,0.6267740698120444,1.2534130072307317,1.0,0.0316591686676214,1.3395266882328332,0.2695119798605988,0.2639315134873203,0.2534676548182499,0.469960434676049,valence_very_high,instrumentalness_low,"valence_very_high  →  instrumentalness_low (conf=0.63, lift=1.25)"
"frozenset({'danceability_very_high', 'valence_very_high'})",frozenset({'instrumentalness_low'}),0.1096563207513266,0.5000539057727093,0.0683525197953976,0.6233340616124099,1.246533732496703,1.0,0.0135184483110317,1.3272930819479756,0.2221337946413152,0.1262612851832183,0.246586896593803,0.3800121822052084,danceability_very_high|valence_very_high,instrumentalness_low,"danceability_very_high|valence_very_high  →  instrumentalness_low (conf=0.62, lift=1.25)"
"frozenset({'acousticness_low', 'energy_high'})",frozenset({'instrumentalness_low'}),0.0929215730902382,0.5000539057727093,0.0578947998897926,0.6230501482531906,1.2459659669899412,1.0,0.0114290043354747,1.3262933833519472,0.2176326258552791,0.1081982627384257,0.2460190086504876,0.3694136329613979,acousticness_low|energy_high,instrumentalness_low,"acousticness_low|energy_high  →  instrumentalness_low (conf=0.62, lift=1.25)"
"frozenset({'loudness_high', 'mode_1'})",frozenset({'instrumentalness_low'}),0.155452269433031,0.5000539057727093,0.0962038356952047,0.6188641442552208,1.237594861495822,1.0,0.018469321203986,1.3117267417686116,0.2273182725695131,0.1720068537159991,0.2376460979581067,0.405625537056702,loudness_high|mode_1,instrumentalness_low,"loudness_high|mode_1  →  instrumentalness_low (conf=0.62, lift=1.24)"
"frozenset({'mode_1', 'duration_ms_low'})",frozenset({'instrumentalness_low'}),0.1577282909474239,0.5000539057727093,0.0976053857856466,0.6188197767145135,1.237506135980042,1.0,0.0187327378465331,1.3115740630983734,0.2278637601125119,0.1742403182002865,0.2375573533089942,0.4070047522897979,duration_ms_low|mode_1,instrumentalness_low,"duration_ms_low|mode_1  →  instrumentalness_low (conf=0.62, lift=1.24)"
"frozenset({'acousticness_high', 'mode_0'})",frozenset({'instrumentalness_low'}),0.0908012793636723,0.5000539057727093,0.0560979407994825,0.6178100263852243,1.23548685302348,1.0,0.0106924064045192,1.3081088692588416,0.2096378618767324,0.1049035639882619,0.235537634901453,0.3649969066383768,acousticness_high|mode_0,instrumentalness_low,"acousticness_high|mode_0  →  instrumentalness_low (conf=0.62, lift=1.24)"
"frozenset({'mode_1', 'valence_high'})",frozenset({'instrumentalness_low'}),0.1560512224631344,0.5000539057727093,0.096251751937613,0.6167958854686421,1.2334587898389415,1.0,0.0182177286443167,1.3046469890823151,0.2242691295049894,0.171923142759329,0.2335091343725116,0.4046393187404536,mode_1|valence_high,instrumentalness_low,"mode_1|valence_high  →  instrumentalness_low (conf=0.62, lift=1.23)"
"frozenset({'loudness_high', 'energy_high'})",frozenset({'instrumentalness_low'}),0.0976892392098611,0.5000539057727093,0.0601708214041854,0.6159411404046596,1.2317494839938814,1.0,0.0113209357853299,1.301743422229743,0.2085164152709126,0.111930653355914,0.2317994599219021,0.3681349051965805,energy_high|loudness_high,instrumentalness_low,"energy_high|loudness_high  →  instrumentalness_low (conf=0.62, lift=1.23)"
"frozenset({'mode_1', 'loudness_very_high'})",frozenset({'instrumentalness_low'}),0.1537752009487415,0.5000539057727093,0.0945028090897111,0.614551686531121,1.2289708758128464,1.0,0.0176069192443097,1.297050932012072,0.2201673452728709,0.1689582797909706,0.2290202525441824,0.4017684649596962,loudness_very_high|mode_1,instrumentalness_low,"loudness_very_high|mode_1  →  instrumentalness_low (conf=0.61, lift=1.23)"
"frozenset({'speechiness_very_low', 'instrumentalness_low'})",frozenset({'mode_1'}),0.1350279711065058,0.6337522011523856,0.1048646965104996,0.7766146202980838,1.2254231525916972,1.0,0.0192904226046108,1.639533434714182,0.2126720288112351,0.1579488659942623,0.390070382935296,0.4710405111697394,instrumentalness_low|speechiness_very_low,mode_1,"instrumentalness_low|speechiness_very_low  →  mode_1 (conf=0.78, lift=1.23)"
"frozenset({'liveness_very_high', 'speechiness_very_high'})",frozenset({'instrumentalness_low'}),0.0844763353657806,0.5000539057727093,0.051414128104074,0.608621667612025,1.217112116485824,1.0,0.0091714066590502,1.2773984987285705,0.1948425930043728,0.0964407693690455,0.2171589359191143,0.3557194194710182,liveness_very_high|speechiness_very_high,instrumentalness_low,"liveness_very_high|speechiness_very_high  →  instrumentalness_low (conf=0.61, lift=1.22)"
"frozenset({'energy_very_low', 'acousticness_very_high', 'instrumentalness_low'})",frozenset({'mode_1'}),0.0679212736137232,0.6337522011523856,0.0523245367098312,0.7703703703703703,1.215570326966225,1.0,0.0092792800520606,1.594950091755739,0.1902638561685072,0.0805799988931318,0.3730211339094701,0.4264667275724831,acousticness_very_high|energy_very_low|instrumentalness_low,mode_1,"acousticness_very_high|energy_very_low|instrumentalness_low  →  mode_1 (conf=0.77, lift=1.22)"
"frozenset({'mode_1', 'acousticness_low'})",frozenset({'instrumentalness_low'}),0.1498221109500593,0.5000539057727093,0.0910408605757136,0.6076597105620853,1.215188409783737,1.0,0.0161217288240243,1.2742665173223409,0.2082885763696285,0.1629118346873593,0.215234814376718,0.3948609016589652,acousticness_low|mode_1,instrumentalness_low,"acousticness_low|mode_1  →  instrumentalness_low (conf=0.61, lift=1.22)"
"frozenset({'key_very_low', 'valence_very_high'})",frozenset({'mode_1'}),0.0776123336407959,0.6337522011523856,0.0597635333437151,0.7700262386170705,1.215027320168499,1.0,0.0105765460622874,1.5925634152575123,0.1918642728287948,0.0917179887857339,0.3720815193796831,0.4321636721863351,key_very_low|valence_very_high,mode_1,"key_very_low|valence_very_high  →  mode_1 (conf=0.77, lift=1.22)"
"frozenset({'mode_1', 'energy_high'})",frozenset({'instrumentalness_low'}),0.1510918913738784,0.5000539057727093,0.0917715832724397,0.6073892016173789,1.2146474502160114,1.0,0.0162174928603459,1.273388547352346,0.2081684023699598,0.1640611615555936,0.2146937381530411,0.3954562911114874,energy_high|mode_1,instrumentalness_low,"energy_high|mode_1  →  instrumentalness_low (conf=0.61, lift=1.21)"
"frozenset({'speechiness_very_low', 'key_very_low'})",frozenset({'mode_1'}),0.0807867847003438,0.6337522011523856,0.0621353873429245,0.7691281138790036,1.2136101657405791,1.0,0.0109365847150578,1.5863681152397635,0.1914813372831912,0.0952407182989974,0.3696292869269753,0.4335858885244181,key_very_low|speechiness_very_low,mode_1,"key_very_low|speechiness_very_low  →  mode_1 (conf=0.77, lift=1.21)"
"frozenset({'acousticness_very_low', 'key_very_low'})",frozenset({'mode_1'}),0.0798643970339846,0.6337522011523856,0.0610093556463302,0.7639118044097795,1.2053793312602583,1.0,0.0103951182323344,1.5513177096042214,0.1851744911208824,0.0934855632445529,0.3553867181371093,0.4300893489490538,acousticness_very_low|key_very_low,mode_1,"acousticness_very_low|key_very_low  →  mode_1 (conf=0.76, lift=1.21)"
"frozenset({'mode_1', 'danceability_high'})",frozenset({'instrumentalness_low'}),0.1583392230381293,0.5000539057727093,0.0953293642712538,0.6020577999697382,1.2039857963701075,1.0,0.0161512173540211,1.256328417014511,0.201298934519877,0.1693047400221257,0.2040297851605074,0.3963479877579622,danceability_high|mode_1,instrumentalness_low,"danceability_high|mode_1  →  instrumentalness_low (conf=0.60, lift=1.20)"
"frozenset({'speechiness_very_low', 'energy_low'})",frozenset({'instrumentalness_low'}),0.0860336132440494,0.5000539057727093,0.0517136046191257,0.6010860484544696,1.2020425028490482,1.0,0.0086921602887001,1.253268010031554,0.1839046421338914,0.0967741935483871,0.2020860725753125,0.3522510541237468,energy_low|speechiness_very_low,instrumentalness_low,"energy_low|speechiness_very_low  →  instrumentalness_low (conf=0.60, lift=1.20)"
