acousticness_very_high|energy_very_low|tempo_very_low|valence_very_low  →  danceability_very_low|loudness_very_low (conf=0.73, lift=7.66)
energy_very_low|loudness_very_low|speechiness_low|valence_very_low  →  acousticness_very_high|danceability_very_low (conf=0.72, lift=7.66)
danceability_very_low|loudness_very_low|speechiness_low|valence_very_low  →  energy_very_low|instrumentalness_high (conf=0.70, lift=7.65)
acousticness_very_high|instrumentalness_high|valence_very_low  →  danceability_very_low|loudness_very_low (conf=0.73, lift=7.64)
loudness_very_low|tempo_very_low|valence_very_low  →  acousticness_very_high|danceability_very_low|energy_very_low (conf=0.62, lift=7.63)
acousticness_very_high|energy_very_low|instrumentalness_high|speechiness_low  →  danceability_very_low|loudness_very_low (conf=0.73, lift=7.63)
acousticness_very_high|danceability_very_low|speechiness_low  →  energy_very_low|loudness_very_low|valence_very_low (conf=0.64, lift=7.63)
danceability_very_low|energy_very_low|liveness_low|loudness_very_low  →  acousticness_very_high|valence_very_low (conf=0.67, lift=7.61)
acousticness_very_high|instrumentalness_high|tempo_very_low  →  energy_very_low|loudness_very_low|valence_very_low (conf=0.64, lift=7.60)
energy_very_low|speechiness_low|valence_very_low  →  danceability_very_low|loudness_very_low (conf=0.72, lift=7.56)
danceability_very_low|instrumentalness_high|speechiness_low  →  energy_very_low|loudness_very_low|valence_very_low (conf=0.63, lift=7.53)
acousticness_very_high|instrumentalness_high|loudness_very_low|mode_1|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.75, lift=7.53)
danceability_very_low|energy_very_low|instrumentalness_high|mode_1  →  loudness_very_low|valence_very_low (conf=0.78, lift=7.53)
danceability_very_low|energy_very_low|speechiness_low  →  acousticness_very_high|valence_very_low (conf=0.66, lift=7.51)
acousticness_very_high|danceability_very_low|energy_very_low|instrumentalness_high|mode_1  →  loudness_very_low|valence_very_low (conf=0.77, lift=7.48)
acousticness_very_high|danceability_very_low|instrumentalness_high  →  loudness_very_low|valence_very_low (conf=0.77, lift=7.48)
energy_very_low|instrumentalness_high|mode_1|valence_very_low  →  danceability_very_low|loudness_very_low (conf=0.72, lift=7.48)
instrumentalness_high|loudness_very_low|tempo_very_low|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.74, lift=7.41)
danceability_very_low|loudness_very_low|speechiness_low  →  acousticness_very_high|valence_very_low (conf=0.65, lift=7.40)
energy_very_low|loudness_very_low|tempo_very_low|valence_very_low  →  acousticness_very_high|danceability_very_low (conf=0.69, lift=7.38)
acousticness_very_high|mode_1|tempo_very_low|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.73, lift=7.38)
danceability_very_low|instrumentalness_high|loudness_very_low|speechiness_low  →  energy_very_low|valence_very_low (conf=0.77, lift=7.37)
acousticness_very_high|energy_very_low|instrumentalness_high|tempo_very_low  →  danceability_very_low|loudness_very_low (conf=0.70, lift=7.36)
acousticness_very_high|instrumentalness_high|loudness_very_low|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.73, lift=7.32)
acousticness_very_high|tempo_very_low|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.73, lift=7.31)
acousticness_very_high|danceability_very_low|loudness_very_low|speechiness_low  →  energy_very_low|instrumentalness_high (conf=0.66, lift=7.30)
acousticness_very_high|danceability_very_low|instrumentalness_high|loudness_very_low  →  energy_very_low|valence_very_low (conf=0.77, lift=7.30)
acousticness_very_high|liveness_low|loudness_very_low|valence_very_low  →  energy_very_low|instrumentalness_high (conf=0.66, lift=7.28)
energy_very_low|instrumentalness_high|valence_very_low  →  danceability_very_low|loudness_very_low (conf=0.70, lift=7.28)
acousticness_very_high|instrumentalness_high|mode_1|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.72, lift=7.28)
acousticness_very_high|danceability_very_low|instrumentalness_high|mode_1  →  loudness_very_low|valence_very_low (conf=0.75, lift=7.27)
energy_very_low|speechiness_low|valence_very_low  →  acousticness_very_high|danceability_very_low (conf=0.68, lift=7.27)
danceability_very_low|instrumentalness_high|loudness_very_low|tempo_very_low  →  energy_very_low|valence_very_low (conf=0.76, lift=7.26)
acousticness_very_high|tempo_very_low|valence_very_low  →  danceability_very_low|loudness_very_low (conf=0.69, lift=7.25)
acousticness_very_high|danceability_very_low|loudness_very_low|valence_very_low  →  energy_very_low|instrumentalness_high (conf=0.66, lift=7.25)
acousticness_very_high|instrumentalness_high|loudness_very_low|speechiness_low  →  danceability_very_low|energy_very_low (conf=0.72, lift=7.25)
acousticness_very_high|danceability_very_low|loudness_very_low|mode_1|valence_very_low  →  energy_very_low|instrumentalness_high (conf=0.66, lift=7.21)
acousticness_very_high|danceability_very_low|instrumentalness_high|loudness_very_low|mode_1  →  energy_very_low|valence_very_low (conf=0.75, lift=7.19)
loudness_very_low|mode_1|tempo_very_low|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.71, lift=7.18)
acousticness_very_high|instrumentalness_high|speechiness_low  →  danceability_very_low|loudness_very_low (conf=0.69, lift=7.18)
energy_very_low|instrumentalness_high|loudness_very_low|speechiness_low  →  acousticness_very_high|valence_very_low (conf=0.63, lift=7.18)
energy_very_low|instrumentalness_high|loudness_very_low|tempo_very_low  →  acousticness_very_high|valence_very_low (conf=0.63, lift=7.17)
acousticness_very_high|danceability_very_low|liveness_low  →  energy_very_low|loudness_very_low|valence_very_low (conf=0.60, lift=7.17)
instrumentalness_high|loudness_very_low|tempo_very_low|valence_very_low  →  acousticness_very_high|danceability_very_low (conf=0.67, lift=7.17)
acousticness_very_high|danceability_very_low|loudness_very_low|speechiness_low  →  energy_very_low|valence_very_low (conf=0.75, lift=7.17)
danceability_very_low|liveness_low|loudness_very_low  →  acousticness_very_high|valence_very_low (conf=0.63, lift=7.15)
acousticness_very_high|loudness_very_low|tempo_very_low|valence_very_low  →  energy_very_low|instrumentalness_high (conf=0.65, lift=7.13)
instrumentalness_high|loudness_very_low|speechiness_low|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.71, lift=7.12)
danceability_very_low|loudness_very_low|tempo_very_low  →  acousticness_very_high|valence_very_low (conf=0.62, lift=7.12)
energy_very_low|instrumentalness_high|speechiness_low  →  danceability_very_low|loudness_very_low (conf=0.68, lift=7.11)
danceability_very_low|instrumentalness_high|loudness_very_low  →  acousticness_very_high|valence_very_low (conf=0.62, lift=7.11)
danceability_very_low|energy_very_low|tempo_very_low  →  acousticness_very_high|valence_very_low (conf=0.62, lift=7.10)
acousticness_very_high|danceability_very_low|instrumentalness_high  →  energy_very_low|valence_very_low (conf=0.75, lift=7.10)
acousticness_very_high|instrumentalness_high|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.70, lift=7.08)
loudness_very_low|tempo_very_low|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.70, lift=7.07)
acousticness_very_high|instrumentalness_high|loudness_very_low|tempo_very_low  →  danceability_very_low|energy_very_low (conf=0.70, lift=7.07)
acousticness_very_high|speechiness_low|valence_very_low  →  energy_very_low|instrumentalness_high (conf=0.64, lift=7.06)
danceability_very_low|instrumentalness_high|loudness_very_low|mode_1  →  acousticness_very_high|valence_very_low (conf=0.62, lift=7.05)
loudness_very_low|speechiness_low|valence_very_low  →  danceability_very_low|energy_very_low (conf=0.70, lift=7.04)
acousticness_very_high|danceability_very_low|instrumentalness_high|mode_1  →  energy_very_low|valence_very_low (conf=0.74, lift=7.03)
danceability_very_low|energy_very_low|loudness_very_low  →  acousticness_very_high|valence_very_low (conf=0.62, lift=7.01)
energy_very_low|tempo_very_low|valence_very_low  →  danceability_very_low|loudness_very_low (conf=0.67, lift=7.01)
danceability_very_low|energy_very_low|mode_1|tempo_very_low  →  acousticness_very_high|valence_very_low (conf=0.61, lift=7.01)
acousticness_very_high|danceability_very_low|loudness_very_low|tempo_very_low  →  energy_very_low|valence_very_low (conf=0.74, lift=7.00)
energy_very_low|mode_1|tempo_very_low|valence_very_low  →  danceability_very_low|loudness_very_low (conf=0.67, lift=6.98)
acousticness_very_high|danceability_very_low|liveness_low|loudness_very_low  →  energy_very_low|valence_very_low (conf=0.73, lift=6.97)
energy_very_low|mode_1|tempo_very_low|valence_very_low  →  acousticness_very_high|danceability_very_low (conf=0.66, lift=6.97)
acousticness_very_high|instrumentalness_high|tempo_very_low  →  danceability_very_low|loudness_very_low (conf=0.67, lift=6.97)
energy_very_low|instrumentalness_high|loudness_very_low|mode_1|valence_very_low  →  acousticness_very_high|danceability_very_low (conf=0.66, lift=6.96)
danceability_very_low|energy_very_low|liveness_low  →  acousticness_very_high|valence_very_low (conf=0.61, lift=6.95)
danceability_very_low|loudness_very_low|tempo_very_low|valence_very_low  →  energy_very_low|instrumentalness_high (conf=0.63, lift=6.95)
